platform_id,language_id,country_id,layout_id,klo,klid,apple_id,cldr,status_id
1,hu,"Country(alpha_2='HU', alpha_3='HUN', flag='🇭🇺', name='Hungary', numeric='348', official_name='Hungary')",qwertz,m-hu-HU,,com.apple.keylayout.Hungarian,,active
1,sv,"Country(alpha_2='SE', alpha_3='SWE', flag='🇸🇪', name='Sweden', numeric='752', official_name='Kingdom of Sweden')",qwerty,m-sv-SE,,com.apple.keylayout.Swedish-Pro,,active
1,is,"Country(alpha_2='IS', alpha_3='ISL', flag='🇮🇸', name='Iceland', numeric='352', official_name='Republic of Iceland')",qwerty,m-is-IS,,com.apple.keylayout.Icelandic,,active
1,iu,"Country(alpha_2='CA', alpha_3='CAN', flag='🇨🇦', name='Canada', numeric='124')",qwerty,m-iu-CA,,com.apple.keylayout.InuttitutNunavik,,active
1,en,"Country(alpha_2='CA', alpha_3='CAN', flag='🇨🇦', name='Canada', numeric='124')",qwerty,m-en-CA,,com.apple.keylayout.Canadian,,active
1,sk,"Country(alpha_2='SK', alpha_3='SVK', flag='🇸🇰', name='Slovakia', numeric='703', official_name='Slovak Republic')",qwertz,m-sk-SK,,com.apple.keylayout.Slovak,,active
1,sr,"Country(alpha_2='RS', alpha_3='SRB', flag='🇷🇸', name='Serbia', numeric='688', official_name='Republic of Serbia')",qwerty,m-sr-RS,,com.apple.keylayout.Serbian-Latin,,active
1,ar,X,قشعرتط,m-ar-X,,com.apple.keylayout.Arabic-QWERTY,,active
1,tr,"Country(alpha_2='TR', alpha_3='TUR', flag='🇹🇷', name='Türkiye', numeric='792', official_name='Republic of Türkiye')",fgğıod,m-tr-TR,,com.apple.keylayout.Turkish,,active
1,fr,"Country(alpha_2='FR', alpha_3='FRA', flag='🇫🇷', name='France', numeric='250', official_name='French Republic')",azerty,m-fr-FR,,com.apple.keylayout.French-numerical,,active
1,pt,"Country(alpha_2='PT', alpha_3='PRT', flag='🇵🇹', name='Portugal', numeric='620', official_name='Portuguese Republic')",qwerty,m-pt-PT,,com.apple.keylayout.Portuguese,,active
1,fr,"Country(alpha_2='CH', alpha_3='CHE', flag='🇨🇭', name='Switzerland', numeric='756', official_name='Swiss Confederation')",qwertz,m-fr-CH,,com.apple.keylayout.SwissFrench,,active
1,he,X,קשערתט,m-he-X,,com.apple.keylayout.Hebrew-QWERTY,,active
1,de,"Country(alpha_2='DE', alpha_3='DEU', flag='🇩🇪', name='Germany', numeric='276', official_name='Federal Republic of Germany')",qwertz,m-de-DE,,com.apple.keylayout.German,,active
1,az,"Country(alpha_2='AZ', alpha_3='AZE', flag='🇦🇿', name='Azerbaijan', numeric='031', official_name='Republic of Azerbaijan')",qüerty,m-az-AZ,,com.apple.keylayout.Azeri,,active
1,ru,"Country(alpha_2='RU', alpha_3='RUS', flag='🇷🇺', name='Russian Federation', numeric='643')",йцукен,m-ru-RU,,com.apple.keylayout.Russian,,active
1,no,"Country(alpha_2='NO', alpha_3='NOR', flag='🇳🇴', name='Norway', numeric='578', official_name='Kingdom of Norway')",qwerty,m-no-NO,,com.apple.keylayout.NorwegianExtended,,active
1,uk,"Country(alpha_2='UA', alpha_3='UKR', flag='🇺🇦', name='Ukraine', numeric='804')",йцукен,m-uk-UA,,com.apple.keylayout.Ukrainian-PC,,active
1,fo,"Country(alpha_2='FO', alpha_3='FRO', flag='🇫🇴', name='Faroe Islands', numeric='234')",qwerty,m-fo-FO,,com.apple.keylayout.Faroese,,active
1,ro,"Country(alpha_2='RO', alpha_3='ROU', flag='🇷🇴', name='Romania', numeric='642')",qwerty,m-ro-RO,,com.apple.keylayout.Romanian,,active
1,uz,"Country(alpha_2='AF', alpha_3='AFG', flag='🇦🇫', name='Afghanistan', numeric='004', official_name='Islamic Republic of Afghanistan')",ضصثقفغ,m-uz-AF,,com.apple.keylayout.AfghanUzbek,,active
1,mi,"Country(alpha_2='NZ', alpha_3='NZL', flag='🇳🇿', name='New Zealand', numeric='554')",qwerty,m-mi-NZ,,com.apple.keylayout.Maori,,active
1,pt,"Country(alpha_2='BR', alpha_3='BRA', flag='🇧🇷', name='Brazil', numeric='076', official_name='Federative Republic of Brazil')",qwerty,m-pt-BR,,com.apple.keylayout.Brazilian-Pro,,active
1,et,"Country(alpha_2='EE', alpha_3='EST', flag='🇪🇪', name='Estonia', numeric='233', official_name='Republic of Estonia')",qwerty,m-et-EE,,com.apple.keylayout.Estonian,,active
1,iu,"Country(alpha_2='CA', alpha_3='CAN', flag='🇨🇦', name='Canada', numeric='124')",qwerty,m-iu-CA-1,,com.apple.keylayout.Inuktitut-Nunavut,,active
1,en,"Country(alpha_2='AU', alpha_3='AUS', flag='🇦🇺', name='Australia', numeric='036')",qwerty,m-en-AU,,com.apple.keylayout.Australian,,active
1,fi,"Country(alpha_2='FI', alpha_3='FIN', flag='🇫🇮', name='Finland', numeric='246', official_name='Republic of Finland')",qwerty,m-fi-FI,,com.apple.keylayout.FinnishExtended,,active
1,fr,"Country(alpha_2='FR', alpha_3='FRA', flag='🇫🇷', name='France', numeric='250', official_name='French Republic')",azerty,m-fr-FR-1,,com.apple.keylayout.French,,active
1,iu,"Country(alpha_2='CA', alpha_3='CAN', flag='🇨🇦', name='Canada', numeric='124')",qwerty,m-iu-CA-2,,com.apple.keylayout.Inuktitut-QWERTY,,active
1,nl,"Country(alpha_2='BE', alpha_3='BEL', flag='🇧🇪', name='Belgium', numeric='056', official_name='Kingdom of Belgium')",azerty,m-nl-BE,,com.apple.keylayout.Belgian,,active
1,lt,"Country(alpha_2='LT', alpha_3='LTU', flag='🇱🇹', name='Lithuania', numeric='440', official_name='Republic of Lithuania')",qwerty,m-lt-LT,,com.apple.keylayout.Lithuanian,,active
1,it,"Country(alpha_2='IT', alpha_3='ITA', flag='🇮🇹', name='Italy', numeric='380', official_name='Italian Republic')",qwerty,m-it-IT,,com.apple.keylayout.Italian-Pro,,active
1,bg,"Country(alpha_2='BG', alpha_3='BGR', flag='🇧🇬', name='Bulgaria', numeric='100', official_name='Republic of Bulgaria')",",уеишщ",m-bg-BG,,com.apple.keylayout.Bulgarian,,active
1,it,"Country(alpha_2='IT', alpha_3='ITA', flag='🇮🇹', name='Italy', numeric='380', official_name='Italian Republic')",qzerty,m-it-IT-1,,com.apple.keylayout.Italian-Pro,,active
1,be,"Country(alpha_2='BY', alpha_3='BLR', flag='🇧🇾', name='Belarus', numeric='112', official_name='Republic of Belarus')",йцукен,m-be-BY,,com.apple.keylayout.Byelorussian,,active
1,ps,"Country(alpha_2='AF', alpha_3='AFG', flag='🇦🇫', name='Afghanistan', numeric='004', official_name='Islamic Republic of Afghanistan')",ضصثقفغ,m-ps-AF,,com.apple.keylayout.AfghanPashto,,active
1,es,X,qwerty,m-es-X,,com.apple.keylayout.Spanish-ISO,,active
1,hy,"Country(alpha_2='AM', alpha_3='ARM', flag='🇦🇲', name='Armenia', numeric='051', official_name='Republic of Armenia')",ճւերտյ,m-hy-AM,,com.apple.keylayout.Armenian-HMQWERTY,,active
1,el,"Country(alpha_2='GR', alpha_3='GRC', flag='🇬🇷', name='Greece', numeric='300', official_name='Hellenic Republic')",;ςερτυ,m-el-GR,,com.apple.keylayout.Greek,,active
1,es,X,qwerty,m-es-X-1,,com.apple.keylayout.Spanish-ISO,,active
1,fi,"Country(alpha_2='FI', alpha_3='FIN', flag='🇫🇮', name='Finland', numeric='246', official_name='Republic of Finland')",qwerty,m-fi-FI-1,,com.apple.keylayout.Finnish,,active
1,he,X,/'קראט,m-he-X-1,,com.apple.keylayout.Hebrew,,active
1,th,"Country(alpha_2='TH', alpha_3='THA', flag='🇹🇭', name='Thailand', numeric='764', official_name='Kingdom of Thailand')",ๆไำพะั,m-th-TH,,com.apple.keylayout.Thai,,active
1,el,"Country(alpha_2='GR', alpha_3='GRC', flag='🇬🇷', name='Greece', numeric='300', official_name='Hellenic Republic')",;ςερτυ,m-el-GR-1,,com.apple.keylayout.GreekPolytonic,,active
1,de,"Country(alpha_2='CH', alpha_3='CHE', flag='🇨🇭', name='Switzerland', numeric='756', official_name='Swiss Confederation')",qwertz,m-de-CH,,com.apple.keylayout.SwissGerman,,active
