output,base_key,keyboard_apple_id,key_code,modifiers
a,a,com.apple.keylayout.Hungarian,,set()
s,s,com.apple.keylayout.Hungarian,,set()
d,d,com.apple.keylayout.Hungarian,,set()
f,f,com.apple.keylayout.Hungarian,,set()
h,h,com.apple.keylayout.Hungarian,,set()
g,g,com.apple.keylayout.Hungarian,,set()
y,y,com.apple.keylayout.Hungarian,,set()
x,x,com.apple.keylayout.Hungarian,,set()
c,c,com.apple.keylayout.Hungarian,,set()
v,v,com.apple.keylayout.Hungarian,,set()
0,0,com.apple.keylayout.Hungarian,10,set()
b,b,com.apple.keylayout.Hungarian,,set()
q,q,com.apple.keylayout.Hungarian,,set()
w,w,com.apple.keylayout.Hungarian,,set()
e,e,com.apple.keylayout.Hungarian,,set()
r,r,com.apple.keylayout.Hungarian,,set()
z,z,com.apple.keylayout.Hungarian,,set()
t,t,com.apple.keylayout.Hungarian,,set()
1,1,com.apple.keylayout.Hungarian,,set()
2,2,com.apple.keylayout.Hungarian,,set()
3,3,com.apple.keylayout.Hungarian,,set()
4,4,com.apple.keylayout.Hungarian,,set()
6,6,com.apple.keylayout.Hungarian,,set()
5,5,com.apple.keylayout.Hungarian,,set()
ó,ó,com.apple.keylayout.Hungarian,,set()
9,9,com.apple.keylayout.Hungarian,,set()
7,7,com.apple.keylayout.Hungarian,,set()
ü,ü,com.apple.keylayout.Hungarian,,set()
8,8,com.apple.keylayout.Hungarian,,set()
ö,ö,com.apple.keylayout.Hungarian,,set()
ú,ú,com.apple.keylayout.Hungarian,,set()
o,o,com.apple.keylayout.Hungarian,,set()
u,u,com.apple.keylayout.Hungarian,,set()
ő,ő,com.apple.keylayout.Hungarian,,set()
i,i,com.apple.keylayout.Hungarian,,set()
p,p,com.apple.keylayout.Hungarian,,set()
l,l,com.apple.keylayout.Hungarian,,set()
j,j,com.apple.keylayout.Hungarian,,set()
á,á,com.apple.keylayout.Hungarian,,set()
k,k,com.apple.keylayout.Hungarian,,set()
é,é,com.apple.keylayout.Hungarian,,set()
ű,ű,com.apple.keylayout.Hungarian,,set()
",",",",com.apple.keylayout.Hungarian,,set()
-,-,com.apple.keylayout.Hungarian,,set()
n,n,com.apple.keylayout.Hungarian,,set()
m,m,com.apple.keylayout.Hungarian,,set()
.,.,com.apple.keylayout.Hungarian,,set()
 , ,com.apple.keylayout.Hungarian,,set()
í,í,com.apple.keylayout.Hungarian,50,set()
",",",",com.apple.keylayout.Hungarian,,set()
*,*,com.apple.keylayout.Hungarian,,set()
+,+,com.apple.keylayout.Hungarian,,set()
/,/,com.apple.keylayout.Hungarian,,set()
-,-,com.apple.keylayout.Hungarian,,set()
=,=,com.apple.keylayout.Hungarian,,set()
0,0,com.apple.keylayout.Hungarian,,set()
1,1,com.apple.keylayout.Hungarian,,set()
2,2,com.apple.keylayout.Hungarian,,set()
3,3,com.apple.keylayout.Hungarian,,set()
4,4,com.apple.keylayout.Hungarian,,set()
5,5,com.apple.keylayout.Hungarian,,set()
6,6,com.apple.keylayout.Hungarian,,set()
7,7,com.apple.keylayout.Hungarian,,set()
8,8,com.apple.keylayout.Hungarian,,set()
9,9,com.apple.keylayout.Hungarian,,set()
A,a,com.apple.keylayout.Hungarian,,{'shift'}
S,s,com.apple.keylayout.Hungarian,,{'shift'}
D,d,com.apple.keylayout.Hungarian,,{'shift'}
F,f,com.apple.keylayout.Hungarian,,{'shift'}
H,h,com.apple.keylayout.Hungarian,,{'shift'}
G,g,com.apple.keylayout.Hungarian,,{'shift'}
Y,y,com.apple.keylayout.Hungarian,,{'shift'}
X,x,com.apple.keylayout.Hungarian,,{'shift'}
C,c,com.apple.keylayout.Hungarian,,{'shift'}
V,v,com.apple.keylayout.Hungarian,,{'shift'}
§,0,com.apple.keylayout.Hungarian,10,{'shift'}
B,b,com.apple.keylayout.Hungarian,,{'shift'}
Q,q,com.apple.keylayout.Hungarian,,{'shift'}
W,w,com.apple.keylayout.Hungarian,,{'shift'}
E,e,com.apple.keylayout.Hungarian,,{'shift'}
R,r,com.apple.keylayout.Hungarian,,{'shift'}
Z,z,com.apple.keylayout.Hungarian,,{'shift'}
T,t,com.apple.keylayout.Hungarian,,{'shift'}
',1,com.apple.keylayout.Hungarian,,{'shift'}
"""",2,com.apple.keylayout.Hungarian,,{'shift'}
+,3,com.apple.keylayout.Hungarian,,{'shift'}
!,4,com.apple.keylayout.Hungarian,,{'shift'}
/,6,com.apple.keylayout.Hungarian,,{'shift'}
%,5,com.apple.keylayout.Hungarian,,{'shift'}
Ó,ó,com.apple.keylayout.Hungarian,,{'shift'}
),9,com.apple.keylayout.Hungarian,,{'shift'}
=,7,com.apple.keylayout.Hungarian,,{'shift'}
Ü,ü,com.apple.keylayout.Hungarian,,{'shift'}
(,8,com.apple.keylayout.Hungarian,,{'shift'}
Ö,ö,com.apple.keylayout.Hungarian,,{'shift'}
Ú,ú,com.apple.keylayout.Hungarian,,{'shift'}
O,o,com.apple.keylayout.Hungarian,,{'shift'}
U,u,com.apple.keylayout.Hungarian,,{'shift'}
Ő,ő,com.apple.keylayout.Hungarian,,{'shift'}
I,i,com.apple.keylayout.Hungarian,,{'shift'}
P,p,com.apple.keylayout.Hungarian,,{'shift'}
L,l,com.apple.keylayout.Hungarian,,{'shift'}
J,j,com.apple.keylayout.Hungarian,,{'shift'}
Á,á,com.apple.keylayout.Hungarian,,{'shift'}
K,k,com.apple.keylayout.Hungarian,,{'shift'}
É,é,com.apple.keylayout.Hungarian,,{'shift'}
Ű,ű,com.apple.keylayout.Hungarian,,{'shift'}
?,",",com.apple.keylayout.Hungarian,,{'shift'}
_,-,com.apple.keylayout.Hungarian,,{'shift'}
N,n,com.apple.keylayout.Hungarian,,{'shift'}
M,m,com.apple.keylayout.Hungarian,,{'shift'}
:,.,com.apple.keylayout.Hungarian,,{'shift'}
 , ,com.apple.keylayout.Hungarian,,{'shift'}
Í,í,com.apple.keylayout.Hungarian,50,{'shift'}
",",",",com.apple.keylayout.Hungarian,,{'shift'}
*,,com.apple.keylayout.Hungarian,,{'shift'}
*,*,com.apple.keylayout.Hungarian,,{'shift'}
+,+,com.apple.keylayout.Hungarian,,{'shift'}
+,,com.apple.keylayout.Hungarian,,{'shift'}
=,,com.apple.keylayout.Hungarian,,{'shift'}
/,/,com.apple.keylayout.Hungarian,,{'shift'}
/,,com.apple.keylayout.Hungarian,,{'shift'}
-,-,com.apple.keylayout.Hungarian,,{'shift'}
=,=,com.apple.keylayout.Hungarian,,{'shift'}
0,0,com.apple.keylayout.Hungarian,,{'shift'}
1,1,com.apple.keylayout.Hungarian,,{'shift'}
2,2,com.apple.keylayout.Hungarian,,{'shift'}
3,3,com.apple.keylayout.Hungarian,,{'shift'}
4,4,com.apple.keylayout.Hungarian,,{'shift'}
5,5,com.apple.keylayout.Hungarian,,{'shift'}
6,6,com.apple.keylayout.Hungarian,,{'shift'}
7,7,com.apple.keylayout.Hungarian,,{'shift'}
8,8,com.apple.keylayout.Hungarian,,{'shift'}
9,9,com.apple.keylayout.Hungarian,,{'shift'}
ą,a,com.apple.keylayout.Hungarian,,{'option'}
ß,s,com.apple.keylayout.Hungarian,,{'option'}
∂,d,com.apple.keylayout.Hungarian,,{'option'}
ń,f,com.apple.keylayout.Hungarian,,{'option'}
ķ,h,com.apple.keylayout.Hungarian,,{'option'}
©,g,com.apple.keylayout.Hungarian,,{'option'}
«,y,com.apple.keylayout.Hungarian,,{'option'}
»,x,com.apple.keylayout.Hungarian,,{'option'}
ć,c,com.apple.keylayout.Hungarian,,{'option'}
„,v,com.apple.keylayout.Hungarian,,{'option'}
¬,0,com.apple.keylayout.Hungarian,10,{'option'}
”,b,com.apple.keylayout.Hungarian,,{'option'}
@,q,com.apple.keylayout.Hungarian,,{'option'}
ę,w,com.apple.keylayout.Hungarian,,{'option'}
€,e,com.apple.keylayout.Hungarian,,{'option'}
¶,r,com.apple.keylayout.Hungarian,,{'option'}
ź,z,com.apple.keylayout.Hungarian,,{'option'}
†,t,com.apple.keylayout.Hungarian,,{'option'}
&,1,com.apple.keylayout.Hungarian,,{'option'}
™,2,com.apple.keylayout.Hungarian,,{'option'}
£,3,com.apple.keylayout.Hungarian,,{'option'}
$,4,com.apple.keylayout.Hungarian,,{'option'}
›,6,com.apple.keylayout.Hungarian,,{'option'}
‹,5,com.apple.keylayout.Hungarian,,{'option'}
≠,ó,com.apple.keylayout.Hungarian,,{'option'}
],9,com.apple.keylayout.Hungarian,,{'option'}
{,7,com.apple.keylayout.Hungarian,,{'option'}
\,ü,com.apple.keylayout.Hungarian,,{'option'}
[,8,com.apple.keylayout.Hungarian,,{'option'}
},ö,com.apple.keylayout.Hungarian,,{'option'}
~,ú,com.apple.keylayout.Hungarian,,{'option'}
Ņ,o,com.apple.keylayout.Hungarian,,{'option'}
¨,ő,com.apple.keylayout.Hungarian,,{'option'}
Ļ,p,com.apple.keylayout.Hungarian,,{'option'}
•,l,com.apple.keylayout.Hungarian,,{'option'}
∆,j,com.apple.keylayout.Hungarian,,{'option'}
^,á,com.apple.keylayout.Hungarian,,{'option'}
Ż,k,com.apple.keylayout.Hungarian,,{'option'}
…,é,com.apple.keylayout.Hungarian,,{'option'}
`,ű,com.apple.keylayout.Hungarian,,{'option'}
–,-,com.apple.keylayout.Hungarian,,{'option'}
Ķ,m,com.apple.keylayout.Hungarian,,{'option'}
;,.,com.apple.keylayout.Hungarian,,{'option'}
 , ,com.apple.keylayout.Hungarian,,{'option'}
|,í,com.apple.keylayout.Hungarian,50,{'option'}
",",",",com.apple.keylayout.Hungarian,,{'option'}
*,*,com.apple.keylayout.Hungarian,,{'option'}
+,+,com.apple.keylayout.Hungarian,,{'option'}
/,/,com.apple.keylayout.Hungarian,,{'option'}
-,-,com.apple.keylayout.Hungarian,,{'option'}
=,=,com.apple.keylayout.Hungarian,,{'option'}
0,0,com.apple.keylayout.Hungarian,,{'option'}
1,1,com.apple.keylayout.Hungarian,,{'option'}
2,2,com.apple.keylayout.Hungarian,,{'option'}
3,3,com.apple.keylayout.Hungarian,,{'option'}
4,4,com.apple.keylayout.Hungarian,,{'option'}
5,5,com.apple.keylayout.Hungarian,,{'option'}
6,6,com.apple.keylayout.Hungarian,,{'option'}
7,7,com.apple.keylayout.Hungarian,,{'option'}
8,8,com.apple.keylayout.Hungarian,,{'option'}
9,9,com.apple.keylayout.Hungarian,,{'option'}
Ą,a,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ż,s,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ž,d,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ž,f,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Õ,h,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ū,g,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
<,y,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
>,x,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
©,c,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
‚,v,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
•,0,com.apple.keylayout.Hungarian,10,"{'shift', 'option'}"
’,b,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ļ,q,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ł,w,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
š,e,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
®,r,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ź,z,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ś,t,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ŕ,1,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ř,2,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
#,3,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
$,4,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ŗ,6,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ř,5,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ī,ó,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
},9,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ŗ,7,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ī,ü,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
™,8,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
°,ö,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ý,ú,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Į,o,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
†,u,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ý,ő,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ť,i,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ł,p,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ů,l,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ô,j,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
&,k,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ō,é,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ģ,ű,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
*,",",com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
—,-,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ų,n,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
ų,m,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
÷,.,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
 , ,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
Ŕ,í,com.apple.keylayout.Hungarian,50,"{'shift', 'option'}"
",",",",com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
*,,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
*,*,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
+,+,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
+,,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
=,,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
/,/,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
/,,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
-,-,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
=,=,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
0,0,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
1,1,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
2,2,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
3,3,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
4,4,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
5,5,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
6,6,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
7,7,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
8,8,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
9,9,com.apple.keylayout.Hungarian,,"{'shift', 'option'}"
a,a,com.apple.keylayout.Swedish,,set()
s,s,com.apple.keylayout.Swedish,,set()
d,d,com.apple.keylayout.Swedish,,set()
f,f,com.apple.keylayout.Swedish,,set()
h,h,com.apple.keylayout.Swedish,,set()
g,g,com.apple.keylayout.Swedish,,set()
z,z,com.apple.keylayout.Swedish,,set()
x,x,com.apple.keylayout.Swedish,,set()
c,c,com.apple.keylayout.Swedish,,set()
v,v,com.apple.keylayout.Swedish,,set()
§,§,com.apple.keylayout.Swedish,10,set()
b,b,com.apple.keylayout.Swedish,,set()
q,q,com.apple.keylayout.Swedish,,set()
w,w,com.apple.keylayout.Swedish,,set()
e,e,com.apple.keylayout.Swedish,,set()
r,r,com.apple.keylayout.Swedish,,set()
y,y,com.apple.keylayout.Swedish,,set()
t,t,com.apple.keylayout.Swedish,,set()
1,1,com.apple.keylayout.Swedish,,set()
2,2,com.apple.keylayout.Swedish,,set()
3,3,com.apple.keylayout.Swedish,,set()
4,4,com.apple.keylayout.Swedish,,set()
6,6,com.apple.keylayout.Swedish,,set()
5,5,com.apple.keylayout.Swedish,,set()
9,9,com.apple.keylayout.Swedish,,set()
7,7,com.apple.keylayout.Swedish,,set()
+,+,com.apple.keylayout.Swedish,,set()
8,8,com.apple.keylayout.Swedish,,set()
0,0,com.apple.keylayout.Swedish,,set()
o,o,com.apple.keylayout.Swedish,,set()
u,u,com.apple.keylayout.Swedish,,set()
å,å,com.apple.keylayout.Swedish,,set()
i,i,com.apple.keylayout.Swedish,,set()
p,p,com.apple.keylayout.Swedish,,set()
l,l,com.apple.keylayout.Swedish,,set()
j,j,com.apple.keylayout.Swedish,,set()
ä,ä,com.apple.keylayout.Swedish,,set()
k,k,com.apple.keylayout.Swedish,,set()
ö,ö,com.apple.keylayout.Swedish,,set()
',',com.apple.keylayout.Swedish,,set()
",",",",com.apple.keylayout.Swedish,,set()
-,-,com.apple.keylayout.Swedish,,set()
n,n,com.apple.keylayout.Swedish,,set()
m,m,com.apple.keylayout.Swedish,,set()
.,.,com.apple.keylayout.Swedish,,set()
 , ,com.apple.keylayout.Swedish,,set()
<,<,com.apple.keylayout.Swedish,50,set()
",",",",com.apple.keylayout.Swedish,,set()
*,*,com.apple.keylayout.Swedish,,set()
+,+,com.apple.keylayout.Swedish,,set()
/,/,com.apple.keylayout.Swedish,,set()
-,-,com.apple.keylayout.Swedish,,set()
=,=,com.apple.keylayout.Swedish,,set()
0,0,com.apple.keylayout.Swedish,,set()
1,1,com.apple.keylayout.Swedish,,set()
2,2,com.apple.keylayout.Swedish,,set()
3,3,com.apple.keylayout.Swedish,,set()
4,4,com.apple.keylayout.Swedish,,set()
5,5,com.apple.keylayout.Swedish,,set()
6,6,com.apple.keylayout.Swedish,,set()
7,7,com.apple.keylayout.Swedish,,set()
8,8,com.apple.keylayout.Swedish,,set()
9,9,com.apple.keylayout.Swedish,,set()
A,a,com.apple.keylayout.Swedish,,{'shift'}
S,s,com.apple.keylayout.Swedish,,{'shift'}
D,d,com.apple.keylayout.Swedish,,{'shift'}
F,f,com.apple.keylayout.Swedish,,{'shift'}
H,h,com.apple.keylayout.Swedish,,{'shift'}
G,g,com.apple.keylayout.Swedish,,{'shift'}
Z,z,com.apple.keylayout.Swedish,,{'shift'}
X,x,com.apple.keylayout.Swedish,,{'shift'}
C,c,com.apple.keylayout.Swedish,,{'shift'}
V,v,com.apple.keylayout.Swedish,,{'shift'}
°,§,com.apple.keylayout.Swedish,10,{'shift'}
B,b,com.apple.keylayout.Swedish,,{'shift'}
Q,q,com.apple.keylayout.Swedish,,{'shift'}
W,w,com.apple.keylayout.Swedish,,{'shift'}
E,e,com.apple.keylayout.Swedish,,{'shift'}
R,r,com.apple.keylayout.Swedish,,{'shift'}
Y,y,com.apple.keylayout.Swedish,,{'shift'}
T,t,com.apple.keylayout.Swedish,,{'shift'}
!,1,com.apple.keylayout.Swedish,,{'shift'}
"""",2,com.apple.keylayout.Swedish,,{'shift'}
#,3,com.apple.keylayout.Swedish,,{'shift'}
€,4,com.apple.keylayout.Swedish,,{'shift'}
&,6,com.apple.keylayout.Swedish,,{'shift'}
%,5,com.apple.keylayout.Swedish,,{'shift'}
),9,com.apple.keylayout.Swedish,,{'shift'}
/,7,com.apple.keylayout.Swedish,,{'shift'}
?,+,com.apple.keylayout.Swedish,,{'shift'}
(,8,com.apple.keylayout.Swedish,,{'shift'}
=,0,com.apple.keylayout.Swedish,,{'shift'}
O,o,com.apple.keylayout.Swedish,,{'shift'}
U,u,com.apple.keylayout.Swedish,,{'shift'}
Å,å,com.apple.keylayout.Swedish,,{'shift'}
I,i,com.apple.keylayout.Swedish,,{'shift'}
P,p,com.apple.keylayout.Swedish,,{'shift'}
L,l,com.apple.keylayout.Swedish,,{'shift'}
J,j,com.apple.keylayout.Swedish,,{'shift'}
Ä,ä,com.apple.keylayout.Swedish,,{'shift'}
K,k,com.apple.keylayout.Swedish,,{'shift'}
Ö,ö,com.apple.keylayout.Swedish,,{'shift'}
*,',com.apple.keylayout.Swedish,,{'shift'}
;,",",com.apple.keylayout.Swedish,,{'shift'}
_,-,com.apple.keylayout.Swedish,,{'shift'}
N,n,com.apple.keylayout.Swedish,,{'shift'}
M,m,com.apple.keylayout.Swedish,,{'shift'}
:,.,com.apple.keylayout.Swedish,,{'shift'}
 , ,com.apple.keylayout.Swedish,,{'shift'}
>,<,com.apple.keylayout.Swedish,50,{'shift'}
.,",",com.apple.keylayout.Swedish,,{'shift'}
*,,com.apple.keylayout.Swedish,,{'shift'}
*,*,com.apple.keylayout.Swedish,,{'shift'}
+,+,com.apple.keylayout.Swedish,,{'shift'}
+,,com.apple.keylayout.Swedish,,{'shift'}
=,,com.apple.keylayout.Swedish,,{'shift'}
/,/,com.apple.keylayout.Swedish,,{'shift'}
/,,com.apple.keylayout.Swedish,,{'shift'}
-,-,com.apple.keylayout.Swedish,,{'shift'}
=,=,com.apple.keylayout.Swedish,,{'shift'}
0,0,com.apple.keylayout.Swedish,,{'shift'}
1,1,com.apple.keylayout.Swedish,,{'shift'}
2,2,com.apple.keylayout.Swedish,,{'shift'}
3,3,com.apple.keylayout.Swedish,,{'shift'}
4,4,com.apple.keylayout.Swedish,,{'shift'}
5,5,com.apple.keylayout.Swedish,,{'shift'}
6,6,com.apple.keylayout.Swedish,,{'shift'}
7,7,com.apple.keylayout.Swedish,,{'shift'}
8,8,com.apple.keylayout.Swedish,,{'shift'}
9,9,com.apple.keylayout.Swedish,,{'shift'}
,a,com.apple.keylayout.Swedish,,{'option'}
ß,s,com.apple.keylayout.Swedish,,{'option'}
∂,d,com.apple.keylayout.Swedish,,{'option'}
ƒ,f,com.apple.keylayout.Swedish,,{'option'}
˛,h,com.apple.keylayout.Swedish,,{'option'}
¸,g,com.apple.keylayout.Swedish,,{'option'}
÷,z,com.apple.keylayout.Swedish,,{'option'}
≈,x,com.apple.keylayout.Swedish,,{'option'}
ç,c,com.apple.keylayout.Swedish,,{'option'}
‹,v,com.apple.keylayout.Swedish,,{'option'}
¶,§,com.apple.keylayout.Swedish,10,{'option'}
›,b,com.apple.keylayout.Swedish,,{'option'}
•,q,com.apple.keylayout.Swedish,,{'option'}
Ω,w,com.apple.keylayout.Swedish,,{'option'}
é,e,com.apple.keylayout.Swedish,,{'option'}
®,r,com.apple.keylayout.Swedish,,{'option'}
µ,y,com.apple.keylayout.Swedish,,{'option'}
†,t,com.apple.keylayout.Swedish,,{'option'}
©,1,com.apple.keylayout.Swedish,,{'option'}
™,2,com.apple.keylayout.Swedish,,{'option'}
£,3,com.apple.keylayout.Swedish,,{'option'}
$,4,com.apple.keylayout.Swedish,,{'option'}
§,6,com.apple.keylayout.Swedish,,{'option'}
∞,5,com.apple.keylayout.Swedish,,{'option'}
´,,com.apple.keylayout.Swedish,,{'option'}
],9,com.apple.keylayout.Swedish,,{'option'}
|,7,com.apple.keylayout.Swedish,,{'option'}
±,+,com.apple.keylayout.Swedish,,{'option'}
[,8,com.apple.keylayout.Swedish,,{'option'}
≈,0,com.apple.keylayout.Swedish,,{'option'}
œ,o,com.apple.keylayout.Swedish,,{'option'}
ü,u,com.apple.keylayout.Swedish,,{'option'}
˙,å,com.apple.keylayout.Swedish,,{'option'}
ı,i,com.apple.keylayout.Swedish,,{'option'}
π,p,com.apple.keylayout.Swedish,,{'option'}
ﬁ,l,com.apple.keylayout.Swedish,,{'option'}
√,j,com.apple.keylayout.Swedish,,{'option'}
æ,ä,com.apple.keylayout.Swedish,,{'option'}
ª,k,com.apple.keylayout.Swedish,,{'option'}
ø,ö,com.apple.keylayout.Swedish,,{'option'}
@,',com.apple.keylayout.Swedish,,{'option'}
‚,",",com.apple.keylayout.Swedish,,{'option'}
–,-,com.apple.keylayout.Swedish,,{'option'}
‘,n,com.apple.keylayout.Swedish,,{'option'}
’,m,com.apple.keylayout.Swedish,,{'option'}
…,.,com.apple.keylayout.Swedish,,{'option'}
 , ,com.apple.keylayout.Swedish,,{'option'}
≤,<,com.apple.keylayout.Swedish,50,{'option'}
",",",",com.apple.keylayout.Swedish,,{'option'}
*,*,com.apple.keylayout.Swedish,,{'option'}
+,+,com.apple.keylayout.Swedish,,{'option'}
/,/,com.apple.keylayout.Swedish,,{'option'}
-,-,com.apple.keylayout.Swedish,,{'option'}
=,=,com.apple.keylayout.Swedish,,{'option'}
0,0,com.apple.keylayout.Swedish,,{'option'}
1,1,com.apple.keylayout.Swedish,,{'option'}
2,2,com.apple.keylayout.Swedish,,{'option'}
3,3,com.apple.keylayout.Swedish,,{'option'}
4,4,com.apple.keylayout.Swedish,,{'option'}
5,5,com.apple.keylayout.Swedish,,{'option'}
6,6,com.apple.keylayout.Swedish,,{'option'}
7,7,com.apple.keylayout.Swedish,,{'option'}
8,8,com.apple.keylayout.Swedish,,{'option'}
9,9,com.apple.keylayout.Swedish,,{'option'}
◊,a,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
∑,s,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
∆,d,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
∫,f,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
˘,h,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
¯,g,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
⁄,z,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
ˇ,x,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
Ç,c,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
«,v,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
•,§,com.apple.keylayout.Swedish,10,"{'shift', 'option'}"
»,b,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
°,q,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
˝,w,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
É,e,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
√,r,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
˜,y,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
‡,t,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
¡,1,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
”,2,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
¥,3,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
¢,4,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
¶,6,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
‰,5,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
`,,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
},9,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
\,7,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
¿,+,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
{,8,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
≠,0,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
^,,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
Œ,o,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
Ü,u,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
˚,å,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
ˆ,i,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
∏,p,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
ﬂ,l,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
¬,j,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
Æ,ä,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
º,k,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
Ø,ö,com.apple.keylayout.Swedish,,"{'shift', 'option'}"
’,',com.apple.keylayout.Swedish,,"{'shift', 'option'}"
