platform,language,country,layout,status,english_name,native_name,klo,klid,apple_id
macOS,sl,Slovenija,qwerty,active,Slovenian,Slovenian,m-sl-SI,,com.apple.keylayout.Slovenian
macOS,hi,भारत,other,active,Devanagari – QWERTY,देवनागरी – QWERTY,m-hi-IN,,com.apple.keylayout.Devanagari-QWERTY
macOS,no,Norge,qwerty,active,Norwegian,Norsk,m-no-NO-1,,com.apple.keylayout.Norwegian
macOS,ga,Éire,qwerty,active,Irish – Extended,Irish – Extended,m-ga-IE,,com.apple.keylayout.IrishExtended
macOS,sv,Sverige,qwerty,active,Swedish,Svensk,m-sv-SE-1,,com.apple.keylayout.Swedish-Pro
macOS,iu,ᑲᓇᑕᒥ,qwerty,active,Inuktitut – Nutaaq,Inuktitut – Nutaaq,m-iu-CA-3,,com.apple.keylayout.Inuktitut-Nutaaq
macOS,fr,Canada,qwerty,active,Canadian – CSA,Canadien – CSA,m-fr-CA,,com.apple.keylayout.Canadian-CSA
macOS,fa,ایران,other,active,Persian – Standard,Persian – Standard,m-fa-IR,,com.apple.keylayout.Persian-ISIRI2901
macOS,gu,ભારત,other,active,Gujarati – Standard,Gujarati – Standard,m-gu-IN,,com.apple.keylayout.Gujarati
macOS,sr,Србија,other,active,Serbian,Serbian,m-sr-RS-1,,com.apple.keylayout.Serbian
macOS,da,Danmark,qwerty,active,Danish,Dansk,m-da-DK,,com.apple.keylayout.Danish
macOS,cs,Česko,qwerty,active,Czech – QWERTY,Česká – QWERTY,m-cs-CZ,,com.apple.keylayout.Czech-QWERTY
macOS,nl,Nederland,qwerty,active,Dutch,Nederlands,m-nl-NL,,com.apple.keylayout.Dutch
macOS,hi,भारत,other,active,Hindi – Standard,हिन्दी – मानक,m-hi-IN-1,,com.apple.keylayout.Devanagari
macOS,fa,ایران,other,active,Persian – Legacy,Persian – Legacy,m-fa-IR-1,,com.apple.keylayout.Persian
macOS,se,X,other,active,North Sámi,North Sámi,m-se-X,,com.apple.keylayout.NorthernSami
macOS,ne,नेपाल,other,active,Nepali – Remington,Nepali – Remington,m-ne-NP,,com.apple.keylayout.Nepali
macOS,hy,Հայաստան,other,active,Armenian – Western QWERTY,Armenian – Western QWERTY,m-hy-AM-1,,com.apple.keylayout.Armenian-WesternQWERTY
macOS,chr,ᏌᏊ ᎢᏳᎾᎵᏍᏔᏅ ᏍᎦᏚᎩ,qwerty,active,Cherokee – Nation,Cherokee – Nation,m-chr-US,,com.apple.keylayout.Cherokee-Nation
macOS,bg,България,other,active,Bulgarian – QWERTY,Bulgarian – QWERTY,m-bg-BG-1,,com.apple.keylayout.Bulgarian-Phonetic
macOS,chr,ᏌᏊ ᎢᏳᎾᎵᏍᏔᏅ ᏍᎦᏚᎩ,qwerty,active,Cherokee – QWERTY,Cherokee – QWERTY,m-chr-US-1,,com.apple.keylayout.Cherokee-QWERTY
macOS,pl,Polska,qwertz,active,Polish – QWERTZ,Polski QWERTZ,m-pl-PL,,com.apple.keylayout.Polish
macOS,en,United Kingdom,qwerty,active,British,British,m-en-GB,,com.apple.keylayout.British
macOS,ga,Éire,qwerty,active,Irish,Irish,m-ga-IE-1,,com.apple.keylayout.Irish
macOS,ar,X,other,active,Arabic,العربية,m-ar-X-1,,com.apple.keylayout.Arabic
macOS,vi,Việt Nam,qwerty,active,Vietnamese,Việt Nam,m-vi-VN,,com.apple.keylayout.Vietnamese
macOS,tr,Türkiye,qwerty,active,Turkish Q,Türkçe - Q (Standart),m-tr-TR-1,,com.apple.keylayout.Turkish-QWERTY-PC
macOS,cs,Česko,qwertz,active,Czech,Česká,m-cs-CZ-1,,com.apple.keylayout.Czech
macOS,tr,Türkiye,qwerty,active,Turkish Q – Legacy,Türkçe Q - (Eski),m-tr-TR-2,,com.apple.keylayout.Turkish-QWERTY
macOS,hr,Hrvatska,qwerty,active,Croatian – QWERTY,Hrvatski – QWERTY,m-hr-HR,,com.apple.keylayout.Croatian
macOS,cy,Y Deyrnas Unedig,qwerty,active,Welsh,Welsh,m-cy-GB,,com.apple.keylayout.Welsh
macOS,gu,ભારત,other,active,Gujarati – QWERTY,Gujarati – QWERTY,m-gu-IN-1,,com.apple.keylayout.Gujarati-QWERTY
macOS,fa,افغانستان,other,active,Afghan Dari,Afghan Dari,m-fa-AF,,com.apple.keylayout.AfghanDari
macOS,ru,Россия,other,active,Russian – QWERTY,Русская — QWERTY,m-ru-RU-1,,com.apple.keylayout.Russian-Phonetic
macOS,haw,ʻAmelika Hui Pū ʻIa,qwerty,active,Hawaiian,Hawaiian,m-haw-US,,com.apple.keylayout.Hawaiian
macOS,pl,Polska,qwerty,active,Polish,Polski,m-pl-PL-1,,com.apple.keylayout.PolishPro
