com.apple.keylayout.maithili	maithili - standard
com.apple.keylayout.malayalam-qwerty	malayalam - qwerty
com.apple.keylayout.malayalam	malayalam - standard
com.apple.keylayout.maltese	maltese
com.apple.keylayout.mandaic-arabic	mandaic - arabic
com.apple.keylayout.mandaic-qwerty	mandaic - qwerty
com.apple.keylayout.manipuri-bengali	manipuri (bengali) - standard
com.apple.keylayout.manipuri-meeteimayek	manipuri (meetei mayek)
com.apple.keylayout.maori	māori
com.apple.keylayout.marathi	marathi - standard
com.apple.keylayout.mikmaw	mi’kmaq
com.apple.keylayout.mongolian-cyrillic	mongolian
com.apple.keylayout.myanmar-qwerty	myanmar - qwerty
com.apple.keylayout.myanmar	myanmar
com.apple.keylayout.nko-qwerty	n’ko - qwerty
com.apple.keylayout.nko	n’ko
com.apple.keylayout.navajo	navajo
com.apple.keylayout.nepali-is16350	nepali - standard (india)
com.apple.keylayout.nepali	nepali - remington
com.apple.keylayout.norwegianextended	norwegian - extended
com.apple.keylayout.norwegiansami-pc	norwegian sámi - pc
com.apple.keylayout.oriya-qwerty	odia - qwerty
com.apple.keylayout.oriya	odia - standard
com.apple.keylayout.osage-qwerty	osage - qwerty
com.apple.keylayout.pahawh-hmong	hmong (pahawh)
com.apple.keylayout.persian-qwerty	persian - qwerty
com.apple.keylayout.persian	persian - legacy
com.apple.keylayout.persian-isiri2901	persian - standard
com.apple.keylayout.rejang-qwerty	rejang - qwerty
com.apple.keylayout.romanian-standard	romanian - standard
com.apple.keylayout.romanian	romanian
com.apple.keylayout.sami-pc	sámi - pc
com.apple.keylayout.inarisami	inari sámi
com.apple.keylayout.julevsami-norway	lule sámi (norway)
com.apple.keylayout.julevsami	lule sámi (sweden)
com.apple.keylayout.kildinsami	kildin sámi
com.apple.keylayout.northernsami	north sámi
com.apple.keylayout.pitesami	pite sámi
com.apple.keylayout.skoltsami	skolt sámi
com.apple.keylayout.southernsami	south sámi
com.apple.keylayout.umesami	ume sámi
com.apple.keylayout.samoan	samoan
com.apple.keylayout.sanskrit	sanskrit - standard
com.apple.keylayout.santali-devanagari	santali (devanagari) - standard
com.apple.keylayout.santali-olchiki	santali (ol chiki)
com.apple.keylayout.serbian-latin	serbian (latin)
com.apple.keylayout.sindhi-devanagari	sindhi (devanagari) - standard
com.apple.keylayout.sindhi	sindhi
com.apple.keylayout.sinhala-qwerty	sinhala - qwerty
com.apple.keylayout.sinhala	sinhala
com.apple.keylayout.slovenian	slovenian
com.apple.keylayout.swedishsami-pc	swedish sámi - pc
com.apple.keylayout.syriac-arabic	syriac - arabic
com.apple.keylayout.syriac-qwerty	syriac - qwerty
com.apple.keylayout.tajik-cyrillic	tajik (cyrillic)
com.apple.keylayout.tamil99	tamil99
com.apple.keylayout.telugu-qwerty	telugu - qwerty
com.apple.keylayout.telugu	telugu - standard
com.apple.keylayout.thai-pattachote	thai - pattachote
com.apple.keylayout.thai	thai
com.apple.keylayout.tibetanotanius	tibetan - otani
com.apple.keylayout.tibetan-qwerty	tibetan - qwerty
com.apple.keylayout.tibetan-wylie	tibetan - wylie
com.apple.keylayout.tifinagh-azerty	tifinagh
com.apple.keylayout.transliteration-bn	bangla - transliteration
com.apple.keylayout.transliteration-gu	gujarati - transliteration
com.apple.keylayout.transliteration-hi	hindi - transliteration
com.apple.keylayout.transliteration-kn	kannada - transliteration
com.apple.keylayout.transliteration-ml	malayalam - transliteration
com.apple.keylayout.transliteration-mr	marathi - transliteration
com.apple.keylayout.transliteration-pa	punjabi - transliteration
com.apple.keylayout.transliteration-ta	tamil - transliteration
com.apple.keylayout.transliteration-te	telugu - transliteration
com.apple.keylayout.transliteration-ur	urdu - transliteration
com.apple.keylayout.turkish-qwerty	turkish q - legacy
com.apple.keylayout.turkish-standard	turkish f
com.apple.keylayout.turkish	turkish f - legacy
com.apple.keylayout.turkmen	turkmen
com.apple.keylayout.usextended	abc - extended
com.apple.keylayout.ukrainian-qwerty	ukrainian - qwerty
com.apple.keylayout.unicodehexinput	unicode hex input
com.apple.keylayout.urdu	urdu
com.apple.keylayout.uyghur	uyghur
com.apple.keylayout.uzbek-cyrillic	uzbek (cyrillic)
com.apple.keylayout.vietnamese	vietnamese
com.apple.keylayout.wancho-qwerty	wancho - qwerty
com.apple.keylayout.welsh	welsh
com.apple.keylayout.wolastoqey	wolastoqey
com.apple.keylayout.yiddish-qwerty	yiddish - qwerty
com.apple.keylayout.yoruba	yoruba
com.apple.keylayout.zhuyinbopomofo	zhuyin
com.apple.keylayout.gjcromaja	gongjincheong romaja
com.apple.keylayout.390hangul	3-set korean (390)
com.apple.keylayout.hncromaja	hnc romaja
com.apple.keylayout.3sethangul	3-set korean
com.apple.keylayout.pinyinkeyboard	pinyin - simplified
com.apple.keylayout.wubihuakeyboard	stroke - simplified
com.apple.keylayout.traditionalwubihuakeyboard	stroke - cantonese
com.apple.keylayout.traditionalwubihuakeyboard	stroke - traditional
com.apple.keylayout.zhuyineten	zhuyin eten - traditional
com.apple.keylayout.traditionalpinyinkeyboard	pinyin - traditional
com.apple.keylayout.wubihuakeyboard	wubihuakeyboard
